Post code,Municipality code,Prosperity index
5571,91013,87
5080,92141,119
5543,91142,84
3581,71004,95
3583,71004,95
3590,71011,108
3640,72018,95
3717,73028,115
3891,71017,109
3980,71057,110
8553,34042,106
6870,84059,90
7504,57081,95
7822,51004,102
1401,25072,113
1460,25044,115
2640,11029,112
2382,13035,95
2310,13037,101
2547,11025,128
2845,11030,102
2060,11002,87
2627,11038,113
2381,13035,95
2150,11007,98
2387,13002,91
3472,24054,111
3272,24134,109
3212,24066,131
1640,23101,131
3450,24028,104
1540,23032,117
9473,41011,101
9112,46021,96
9031,44021,103
9308,41002,105
4730,63061,104
4632,62099,99
4351,64063,113
4480,61080,86
4910,63076,109
7510,57081,95
7020,53053,87
6534,56078,103
7860,51069,92
7330,53070,95
7864,51069,92
7100,58001,80
6531,56078,103
3722,73040,108
8550,34042,106
8691,38002,96
8700,37015,103
8760,37007,100
6840,84043,94
6983,83031,93
6987,83044,92
3120,24109,122
1541,23032,117
3270,24134,109
5351,92097,100
5540,91142,84
5550,91143,87
3582,71004,95
3850,71045,104
8480,35006,99
8570,34002,108
8830,36006,103
8978,33021,95
3300,24107,105
3401,24059,110
3210,24066,131
1501,23027,104
1950,23099,117
9771,45068,117
9190,46024,111
9051,44021,103
9700,45035,110
9770,45068,117
4181,61024,96
4342,62006,106
4161,61079,110
4650,63035,102
4257,64008,107
6210,52075,112
7802,51004,102
6200,52012,77
7000,53053,87
7021,53053,87
1033,21015,68
1006,21004,70
1043,21015,68
1060,21013,77
1300,25112,112
2170,11002,87
2630,11001,124
7711,57096,81
6210,52075,112
7190,55050,97
1120,21004,70
1150,21019,112
1320,25005,119
1331,25091,123
1348,25068,117
1404,25072,113
2520,11035,120
2490,13003,104
2530,11004,124
2270,13012,105
5621,93022,92
5640,92087,101
5537,91005,97
5020,92094,98
5377,91120,97
5081,92141,119
3501,71022,113
3620,73042,102
3950,72003,95
8850,37020,102
6821,85011,90
6834,84010,89
6852,84050,90
6853,84050,90
6997,83013,96
1654,23003,114
3118,24094,127
1653,23003,114
9270,42010,120
9290,42003,109
9681,45064,120
4761,63012,98
4140,62100,114
4877,63057,121
4670,62119,107
4750,63013,94
4780,63067,103
4051,62022,125
4652,63035,102
7740,57062,96
6221,52021,88
7942,51012,97
7332,53070,95
7010,53053,87
6500,56005,94
6250,52074,87
7624,57093,96
7611,57072,91
7130,58002,90
6560,56022,83
5560,91072,92
5363,91059,100
5600,93056,91
5641,92087,101
5501,91034,89
5651,93088,102
5030,92142,110
5150,92045,107
3660,72042,102
8610,32011,96
8755,37012,104
6630,81013,94
6660,82014,92
6781,81015,119
6813,85007,94
6920,84075,94
1820,23081,117
1502,23027,104
3370,24016,127
1852,23025,114
1700,23016,114
9860,44052,122
9790,45061,118
9570,45063,111
4458,62060,107
4031,62063,81
4650,63035,102
4560,61012,105
4770,63001,96
6110,52048,113
7034,53053,87
6532,56078,103
6530,56078,103
7604,57064,88
7500,57081,95
7333,53070,95
7803,51004,102
6594,56051,77
7910,51065,101
6120,56086,119
7506,57081,95
7783,57097,80
1200,21018,93
1049,21006,73
1370,25048,106
2590,12002,107
2431,13053,108
2801,12025,105
9570,45063,111
9830,44064,151
9300,41002,105
9340,41034,116
9600,45041,84
9981,43014,106
9850,44083,114
9500,41018,103
9170,46020,113
4624,62038,95
4577,61041,108
4260,64015,107
4821,63020,66
4500,61031,93
4782,63067,103
4671,62119,107
4000,62063,81
4260,64015,107
4672,62119,107
4451,62060,107
4621,62038,95
7823,51004,102
7191,55050,97
6462,56016,85
7623,57093,96
6075,52021,88
6020,52011,72
7601,57064,88
7061,55040,95
1020,21004,70
1090,21010,79
1301,25112,112
1330,25091,123
2610,11002,87
8301,31043,150
8310,31005,110
8421,35029,117
8647,32030,94
8660,38008,107
8800,36015,100
8820,31033,103
8957,33016,77
6686,82005,93
6698,82032,89
6742,85009,116
6836,84010,89
6850,84050,90
6921,84075,94
1931,23047,86
3130,24007,117
3012,24062,114
3271,24134,109
3724,73040,108
3746,73006,103
5024,92094,98
5170,92101,110
5590,91030,96
6769,85024,95
6044,52011,72
6030,52011,72
1780,23102,108
9402,41048,104
9920,44085,113
9185,44073,110
9030,44021,103
9140,46025,106
4141,62100,114
4570,61039,105
6464,56016,85
7861,51069,92
7131,58002,90
7134,58002,90
6181,52015,85
7382,53068,80
7301,53014,77
6230,52055,107
1130,21004,70
1410,25110,127
1474,25031,116
2350,13046,114
2870,12041,118
2360,13031,110
5364,91059,100
5001,92094,98
5000,92094,98
3530,72039,93
3580,71004,95
3742,73006,103
3791,73109,101
3798,73109,101
8460,35014,104
8582,34003,101
8640,33041,90
8690,38002,96
8791,34040,106
8880,36010,98
6600,82003,93
6688,82005,93
6692,82032,89
6980,83031,93
1860,23050,126
1650,23003,114
1742,23086,114
8370,31004,102
8430,35011,107
8680,32010,98
8740,37011,99
8900,33011,100
6662,82014,92
6672,82037,88
6860,84033,100
6970,83049,98
1831,23047,86
3320,24041,125
5500,91034,89
5022,92094,98
5541,91142,84
5542,91142,84
5520,91103,96
3550,71070,96
3793,73109,101
3803,71053,103
3830,73098,110
3831,73098,110
9500,41018,103
4607,62027,110
4730,63061,104
4050,62022,125
4601,62108,96
4784,63067,103
4920,62009,100
4042,62051,80
7320,51009,91
7830,51068,115
7641,57003,89
1040,21004,70
1342,25121,105
1472,25031,116
2200,13011,110
2900,11040,118
2240,11054,115
2940,11044,117
5523,91103,96
3800,71053,103
3941,72038,98
8554,34042,106
8904,33011,100
8954,33039,94
8956,33039,94
8970,33021,95
6900,83034,94
3200,24001,114
1674,23064,122
3054,24086,143
3010,24062,114
3053,24086,143
1105,21004,70
1050,21009,94
2320,13014,100
2321,13014,100
2531,11004,124
9200,42006,107
9991,43010,104
9180,44045,111
9980,43014,106
9881,44084,115
9571,45063,111
4163,61079,110
4990,63045,96
4450,62060,107
4970,63073,96
4053,62022,125
4681,62079,94
7512,57081,95
7620,57093,96
6142,52022,86
7862,51069,92
7300,53014,77
5333,92006,109
3650,72041,95
3665,71002,107
3720,73040,108
3970,71034,96
8770,36007,100
6640,82036,94
6660,82014,92
6687,82005,93
6717,81003,137
6761,85045,95
6950,83040,94
6990,83028,89
3381,24137,120
3052,24086,143
1673,23064,122
1570,23023,116
3140,24048,147
9032,44021,103
9630,45065,116
9130,46003,115
4540,61003,93
4367,64021,112
4834,63046,96
4602,62108,96
4020,62063,81
4300,64074,104
4608,62027,110
7712,57096,81
6032,52011,72
1081,21011,67
1050,21013,77
2330,13023,104
2500,12021,109
8650,32006,93
8750,37018,103
3294,24020,111
1750,23104,123
9472,41011,101
9680,45064,120
9450,41024,113
9401,41048,104
9820,44043,125
4432,62003,88
4102,62096,77
4160,61079,110
4960,63049,96
4630,62099,99
7784,57097,80
6240,52018,66
6041,52011,72
7750,57095,100
6140,52022,86
7941,51012,97
7350,53039,88
7170,55086,82
7780,57097,80
1041,21004,70
1046,21006,73
1402,25072,113
2323,13014,100
2400,13006,101
5376,91064,96
5530,91141,105
5573,91013,87
5361,91059,100
3600,71016,92
3700,73083,101
3990,72030,100
8000,31005,110
8400,35013,99
8431,35011,107
8572,34002,108
8630,38025,101
8670,38014,137
6671,82037,88
6810,85007,94
6832,84010,89
6952,83040,94
6953,83040,94
1745,23060,116
4120,62121,129
5576,91013,87
5352,92097,100
5570,91013,87
5644,92087,101
5522,91103,96
3510,71022,113
3512,71022,113
8434,35011,107
8560,34041,103
8908,33011,100
8972,33021,95
6782,81015,119
6812,85007,94
6820,85011,90
9932,44085,113
9968,43002,111
9636,45065,116
9041,44021,103
4861,63058,92
4623,62038,95
4711,63048,96
4651,63035,102
4830,63046,96
4431,62003,88
4261,64015,107
4600,62108,96
7140,58004,88
6061,52011,72
7730,57027,93
7521,57081,95
7110,58001,80
6567,56049,90
7334,53070,95
6211,52075,112
1070,21001,62
1325,25018,133
1440,25015,116
1457,25124,119
1470,25031,116
1490,25023,109
2620,11018,103
2860,12035,116
2550,11024,126
2390,11057,112
2470,13036,110
2460,13017,113
2890,12041,118
2000,11002,87
2140,11002,87
6830,84010,89
1830,23047,86
3128,24109,122
1933,23094,102
1703,23016,114
3050,24086,143
1731,23002,104
3321,24041,125
9690,45060,108
9750,45068,117
9070,44013,126
9661,45059,110
9240,42028,99
9080,44034,120
4860,63058,92
1031,21015,68
1008,21004,70
1300,25112,112
1420,25014,117
4690,62011,98
4841,63084,96
4130,62032,120
7863,51069,92
6460,56016,85
6511,56005,94
7548,57081,95
7700,57096,81
8490,31012,118
8552,34042,106
8730,31003,108
8851,37020,102
6666,82014,92
6690,82032,89
6730,85039,102
6747,85034,110
6890,84035,97
3440,24130,109
3150,24033,125
3404,24059,110
3290,24020,111
5370,91064,96
5564,91072,92
5555,91015,85
5360,91059,100
5032,92142,110
5380,92138,112
3621,73042,102
3770,73066,102
3790,73109,101
8210,31040,110
8720,37002,103
9930,44085,113
5334,92006,109
3545,71020,111
3001,24062,114
9050,44021,103
9890,44020,121
4530,61068,109
4252,64029,112
4783,63067,103
4041,62051,80
4771,63001,96
7033,53053,87
6593,56051,77
6141,52022,86
7973,51008,94
6596,56051,77
7940,51012,97
7781,57097,80
6441,56029,88
7890,51017,104
6238,52055,107
7063,55040,95
6224,52021,88
7030,53053,87
1180,21016,111
1421,25014,117
2230,13013,108
2100,11002,87
5589,91114,92
5620,93022,92
5575,91054,88
5650,93088,102
8540,34009,106
8587,34043,99
8906,33011,100
6663,82014,92
6724,85046,111
1935,23094,102
1851,23025,114
3090,23062,130
9099,44021,103
9220,42008,102
9772,45068,117
9992,43010,104
4263,64015,107
4253,64029,112
4850,63088,91
4983,63086,94
4030,62063,81
4837,63004,101
4190,61019,104
4731,63061,104
4950,63080,94
4684,62079,94
4250,64029,112
7540,57081,95
7181,55085,109
7760,57018,95
7530,57081,95
7618,57072,91
7912,51065,101
6000,52011,72
7904,57094,95
7380,53068,80
7070,55035,103
1000,21014,54
1160,21002,104
1340,25121,105
2570,12009,114
2830,12040,100
2450,13021,107
2560,12026,110
2223,12014,110
2800,12025,105
5521,91103,96
5100,92094,98
5332,92006,109
3680,72021,100
3740,73006,103
8940,33029,93
8952,33039,94
6637,82009,99
6674,82037,88
6830,84010,89
6941,83012,92
3390,24135,115
3202,24001,114
1600,23077,96
3060,24009,130
5190,92140,97
5010,92094,98
5101,92094,98
5524,91103,96
3930,72037,94
3945,71069,105
8300,31043,150
